title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
Bad Childhood---Good Life,How to Blossom and Thrive in Spite of an Unhappy Childhood,Laura Schlessinger,Self-Help,2006.0,3.92,272.0,502.0
Cat Cross Their Graves,A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,2005.0,4.3,385.0,481.0
Cat Breaking Free,A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,2006.0,4.2,375.0,204.0
Slider,A Novel,Patrick Robinson,Sports & Recreation,2004.0,4.18,416.0,64.0
The Black Dahlia Files,"The Mob, the Mogul, and the Murder That Transfixed Los Angeles",Don Wolfe,True Crime,2006.0,3.84,448.0,600.0
Metro Girl,,Janet Evanovich,Fiction,2005.0,3.62,374.0,28414.0
Motor Mouth,,Janet Evanovich,Fiction,2006.0,3.67,312.0,21885.0
Mystic River,,Dennis Lehane,Fiction,2003.0,4.18,416.0,105317.0
Great Short Works of Herman Melville,,Herman Melville,Fiction,2004.0,4.02,512.0,401.0
The Day I Swapped My Dad for Two Goldfish,,Neil Gaiman,Juvenile Fiction,2006.0,4.03,64.0,280.0
Eleven Minutes,A Novel,Paulo Coelho,Fiction,2005.0,3.69,273.0,114826.0
Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M. Pirsig,Psychology,2006.0,3.77,540.0,157734.0
Ulysses S. Grant,The Unlikely Hero,Michael Korda,Biography & Autobiography,2004.0,3.88,176.0,410.0
A Dirty Job,A Novel,Christopher Moore,Fiction,2006.0,4.07,387.0,88016.0
Quicksilver,Volume One of the Baroque Cycle,Neal Stephenson,Fiction,2004.0,3.93,927.0,29981.0
Every Book Its Reader,The Power of the Printed Word to Stir the World,Nicholas A. Basbanes,Literary Criticism,2006.0,3.96,400.0,300.0
Flirting With Danger,,Suzanne Enoch,Fiction,2005.0,3.93,384.0,3519.0
Lost Horizon,A Novel,James Hilton,Fiction,2004.0,3.92,241.0,11794.0
The Doors of Perception and Heaven and Hell,,Aldous Huxley,Philosophy,2004.0,3.94,187.0,27716.0
Thanksgiving,,Janet Evanovich,Fiction,2006.0,3.6,228.0,10334.0
Love Overboard,,Janet Evanovich,Fiction,2005.0,3.65,244.0,11223.0
Back to the Bedroom,,Janet Evanovich,Fiction,2005.0,3.67,234.0,9839.0
The Rocky Road to Romance,,Janet Evanovich,Fiction,2004.0,3.67,249.0,9470.0
Thomas Jefferson,Author of America,Christopher Hitchens,Biography & Autobiography,2005.0,3.92,188.0,2181.0
Muhammad,A Prophet for Our Time,Karen Armstrong,Biography & Autobiography,2006.0,4.04,256.0,1662.0
Meeting Jesus Again for the First Time,The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,Religion,1995.0,4.14,160.0,3998.0
Reading the Bible Again for the First Time,Taking the Bible Seriously but Not Literally,Marcus J. Borg,Religion,2002.0,4.13,321.0,2875.0
Shadow of the Almighty,The Life and Testament of Jim Elliot,Elisabeth Elliot,Religion,1989.0,4.39,272.0,6658.0
The Dance of the Dissident Daughter,,Sue Monk Kidd,Religion,2002.0,3.96,256.0,5319.0
C.S. Lewis,Readings for Meditation and Reflection,C. S. Lewis,Religion,1996.0,4.31,176.0,255.0
The Screwtape Letters,,C. S. Lewis,Religion,2001.0,4.22,224.0,116735.0
Mere Christianity,,C. S. Lewis,Religion,2001.0,4.32,227.0,7316.0
Learning to Love,Exploring Solitude and Freedom,Thomas Merton,Religion,1998.0,4.5,382.0,15.0
The Mediator #4: Darkest Hour,,Meg Cabot,Juvenile Fiction,2004.0,4.17,316.0,30018.0
Cash,The Autobiography,Johnny Cash,Biography & Autobiography,2003.0,4.07,310.0,16485.0
"The Collected Letters of C.S. Lewis, Volume 1","Family Letters, 1905-1931",C. S. Lewis,Biography & Autobiography,2004.0,4.37,1072.0,112.0
Touching the Void,The True Story of One Man's Miraculous Survival,Joe Simpson,Sports & Recreation,2004.0,4.21,218.0,42264.0
Anybody Out There?,A Novel,Marian Keyes,Fiction,2006.0,3.91,456.0,343.0
My Little Pony: Hide-and-Seek,,Jennifer Frantz,Juvenile Fiction,2004.0,4.14,24.0,37.0
The Confusion,Volume Two of The Baroque Cycle,Neal Stephenson,Fiction,2005.0,4.25,815.0,18790.0
Bridge to Terabithia (rack),,Katherine Paterson,Juvenile Fiction,2004.0,3.99,191.0,1764.0
Practical Demonkeeping,,Christopher Moore,Fiction,2004.0,3.82,256.0,36255.0
Island of the Sequined Love Nun,,Christopher Moore,Fiction,2004.0,3.79,336.0,26949.0
The Lust Lizard of Melancholy Cove,,Christopher Moore,Fiction,2004.0,3.86,304.0,28420.0
Weetzie Bat,,Francesca Lia Block,Juvenile Fiction,2004.0,3.74,128.0,12771.0
Behind the Curtain,An Echo Falls Mystery,Peter Abrahams,Juvenile Fiction,2006.0,3.9,352.0,30.0
